ID,Intent,Question_EN,Answer_EN,Question_HA,Answer_HA,Keywords,Source
TAX_001,pit_rates,What is the income tax rate on salary in Nigeria?,Income tax uses a graduated system: 7% for N300k–N600k; 11% for N600k–N1.1m.,,,"PIT, salary, rate, graduated","Nigeria Tax Act 2025, Section 58"
TAX_002,pit_exempt,Who is exempt from paying personal income tax?,"Individuals earning below N300,000 per year are exempt from paying PIT.",,,"PIT, exempt, N300k, threshold","Nigeria Tax Act 2025, Sections 35–36"
TAX_003,paye,How is tax deducted from a resident individual's employment income?,It is typically deducted at source via the Pay As You Earn (PAYE) system by the employer.,,,"PAYE, employer, deduct, employment","Nigeria Tax Act 2025, Section 13"
TAX_004,benefits_in_kind,Are benefits-in-kind taxable for employees?,"Yes, benefits-in-kind are considered part of employment income and are subject to tax.",,,"benefits, in-kind, taxable, employment","Nigeria Tax Act 2025, Section 14"
TAX_005,presumptive_tax,What is presumptive taxation for individuals?,It is a simplified tax regime for individuals whose actual income cannot be easily determined.,,,"presumptive, simplified, income","Nigeria Tax Act 2025, Section 29"
TAX_006,company_income_tax,What is the standard rate of tax for companies?,"Companies are taxed based on size; small companies at 0%, others at 30%.",,,"CIT, company, 0%, 30%, rate","Nigeria Tax Act 2025, Section 56"
TAX_007,company_income_tax,How are the total profits of a company ascertained?,Total profits are determined by aggregating assessable profits from all sources for the year.,,,"CIT, profits, assessable, aggregate","Nigeria Tax Act 2025, Section 27"
TAX_008,specialised_tax,Are export processing and free trade zone entities taxable?,Such entities have specific exemptions and rules under the specialized trade provisions.,,,"free trade zone, export, exempt","Nigeria Tax Act 2025, Section 60"
TAX_009,specialised_tax,How is the lottery and gaming trade taxed?,These are categorised as specialized trades with specific assessment criteria under the Act.,,,"lottery, gaming, specialised, tax","Nigeria Tax Act 2025, Section 62"
TAX_010,capital_gains_tax,What is a 'chargeable gain' for tax purposes?,A gain that occurs upon the disposal of chargeable assets as defined by the Act.,,,"CGT, chargeable gain, disposal, assets","Nigeria Tax Act 2025, Section 33"
TAX_011,capital_gains_tax,Does compulsory acquisition of land trigger CGT?,Specific provisions apply to the disposal of land under compulsory acquisition.,,,"CGT, land, compulsory acquisition","Nigeria Tax Act 2025, Section 37"
TAX_012,petroleum_tax,What is the Hydrocarbon Tax?,A tax charged on profits from certain upstream petroleum operations in Nigeria.,,,"hydrocarbon, petroleum, upstream, tax","Nigeria Tax Act 2025, Section 66"
TAX_013,petroleum_tax,Are incentives available for the utilisation of associated gas?,"Yes, the Act provides specific incentives to encourage the utilisation of associated gas.",,,"gas, incentive, associated gas","Nigeria Tax Act 2025, Section 93"
TAX_014,value_added_tax,Are passenger road-transport services exempt from VAT?,Shared passenger road-transport services are generally exempt from VAT.,,,"VAT, transport, exempt, bus","Nigeria Tax Act 2025, Part IV"
TAX_015,value_added_tax,Is agricultural equipment subject to VAT?,Purchase or lease of tractors and equipment for agricultural purposes is exempt.,,,"VAT, agriculture, tractor, exempt","Nigeria Tax Act 2025, Part IV"
TAX_016,deductions,What expenses are allowed to be deducted from business profits?,Expenses must be wholly and exclusively incurred for the production of income to be deductible.,,,"deduction, allowable, business, expenses","Nigeria Tax Act 2025, Section 20"
TAX_017,deductions,Are penalties paid to the government tax-deductible?,"No, any expenditure incurred as a penalty (e.g., gas flare fees) is not a deductible expense.",,,"penalty, non-deductible, gas flare","Nigeria Tax Act 2025, Sections 21 & 100"
TAX_018,deductions,Can I deduct the cost of capital assets from my daily business income?,Capital expenditure is generally not allowed as a deduction; capital allowances are claimed instead.,,,"capital, allowance, deduction, asset","Nigeria Tax Act 2025, Section 21"
TAX_019,assessable_profits,What is the basis for computing assessable profits for a business?,Assessable profits are generally based on the profits of the accounting period preceding the year of assessment.,,,"assessable profits, accounting period, basis","Nigeria Tax Act 2025, Section 26"
TAX_020,assessable_profits,What happens to tax when a company permanently stops its trade?,Specific cessation rules apply for computing assessable profits in the year a business shuts down.,,,"cessation, trade, shutdown, assessable","Nigeria Tax Act 2025, Sections 22–26"
TAX_021,assessable_profits,How is tax calculated for a new business starting for the first time?,New businesses follow specific commencement rules to determine their assessable profits for their first few years.,,,"new business, commencement, first year","Nigeria Tax Act 2025, Sections 22–26"
TAX_022,development_levy,What is the Development Levy under the 2025 Act?,"It is a levy charged to support national infrastructure, security, and education funds.",,,"development levy, infrastructure, security","Nigeria Tax Act 2025, Section 59"
TAX_023,development_levy,How is the Development Levy money distributed?,"Split between Nigeria Police (15%), Nigerian Education Loan (15%), and other security/tech funds.",,,"development levy, police, education, distribution","Nigeria Tax Act 2025, Sections 59 & 14th Schedule"
