ID,Intent,Question_EN,Answer_EN,Question_HA,Answer_HA,Keywords,Source,Keywords_HA,Confidence
TAX_001,pit_rates,What is the income tax rate on salary in Nigeria?,Income tax uses a graduated system: 7% for N300k–N600k; 11% for N600k–N1.1m.,Mene ne kuɗin da aka ba da game da kuɗin da ake kashewa a ƙasar Nijeriya?,"Game da kashe kuɗi da aka yi amfani da shi, ka yi amfani da shi wajen cim ma wani tsarin da aka kafa: kashi 86 bisa ɗari zuwa 11 bisa ɗari na kuɗin da aka ba da, wato, kashi 11 bisa ɗari na kuɗin da aka ba da.","PIT, salary, rate, graduated","Nigeria Tax Act 2025, Section 58","kashe, amfani, amfani, wajen, tsarin",HIGH
TAX_002,pit_exempt,Who is exempt from paying personal income tax?,"Individuals earning below N300,000 per year are exempt from paying PIT.","To, wãne ne yake da hakkin biya wa kansa haraji?",Mutane da suke cin gaba a ƙarƙashin kasa a shekara ta 1999 sun rasa abin biyan bukata.,"PIT, exempt, N300k, threshold","Nigeria Tax Act 2025, Sections 35–36","Mutane, ƙarƙashin, shekara, biyan, bukata.",HIGH
TAX_003,paye,How is tax deducted from a resident individual's employment income?,It is typically deducted at source via the Pay As You Earn (PAYE) system by the employer.,Ta yaya za a biya haraji na wanda yake kula da marar lafiya?,Za a iya samun ainihin hanyar biyan bukatun rayuwa idan aka yi amfani da shi a hanyar da ta dace.,"PAYE, employer, deduct, employment","Nigeria Tax Act 2025, Section 13","samun, ainihin, hanyar, biyan, bukatun",HIGH
TAX_004,benefits_in_kind,Are benefits-in-kind taxable for employees?,"Yes, benefits-in-kind are considered part of employment income and are subject to tax.",Shin kayan aiki da aka ba ma'aikacin ya yi amfani da su wajen yi wa ma'aikata aiki?,"Hakika, ana ɗaukan irin aikin da ake biyan albashi mai tsoka da kuma biyan haraji a inda ake biyan haraji.","benefits, in-kind, taxable, employment","Nigeria Tax Act 2025, Section 14","Hakika,, ɗaukan, aikin, biyan, albashi",HIGH
TAX_005,presumptive_tax,What is presumptive taxation for individuals?,It is a simplified tax regime for individuals whose actual income cannot be easily determined.,Mecece gaskiya game da haraji ga mutane?,Mulkin Biritaniya da Amirka ne yake shirya mutane da yawa don su sami kuɗin da za su samu.,"presumptive, simplified, income","Nigeria Tax Act 2025, Section 29","Mulkin, Biritaniya, Amirka, shirya, mutane",HIGH
TAX_006,company_income_tax,What is the standard rate of tax for companies?,"Companies are taxed based on size; small companies at 0%, others at 30%.",Menene irin aikin da ake yi don ' yan kasuwa su yi?,"Alal misali, ' yan kasuwa suna amfani da manya - manyan ' yan kasuwa - manyan ma'aikata a kashi 30 zuwa 30 bisa ɗari.","CIT, company, 0%, 30%, rate","Nigeria Tax Act 2025, Section 56","misali,, kasuwa, amfani, manya, manyan",HIGH
TAX_007,company_income_tax,How are the total profits of a company ascertained?,Total profits are determined by aggregating assessable profits from all sources for the year.,Ta yaya ake amfana daga dukan kasuwanci?,Dukan fa'idodi da ake samu za su iya shafan yadda za a yi amfani da su a kowace shekara.,"CIT, profits, assessable, aggregate","Nigeria Tax Act 2025, Section 27","Dukan, fa'idodi, shafan, yadda, amfani",HIGH
TAX_008,specialised_tax,Are export processing and free trade zone entities taxable?,Such entities have specific exemptions and rules under the specialized trade provisions.,Kana ƙoƙari ka ba da gudummawar kuɗi a wuraren da babu surutu kuma ka canja irin waɗannan canje - canje da aka yi a dā?,Irin waɗannan dokokin suna da laifi kuma suna da mizanai masu yawa game da tsarin kasuwanci na ƙasa.,"free trade zone, export, exempt","Nigeria Tax Act 2025, Section 60","waɗannan, dokokin, laifi, mizanai, tsarin",HIGH
TAX_009,specialised_tax,How is the lottery and gaming trade taxed?,These are categorised as specialized trades with specific assessment criteria under the Act.,Ta yaya ake yin caca da sana'o'i?,An haɗa su kamar yadda aka tsara su daidai yadda aka tsara su bisa doka.,"lottery, gaming, specialised, tax","Nigeria Tax Act 2025, Section 62","kamar, yadda, tsara, daidai, yadda",HIGH
TAX_010,capital_gains_tax,What is a 'chargeable gain' for tax purposes?,A gain that occurs upon the disposal of chargeable assets as defined by the Act.,"Menene ma'anar ""ƙarfafa "" da aka kwatanta a nan?","Wani riba da ake samu ta wajen tara dukiya, kamar yadda doka ta ce.","CGT, chargeable gain, disposal, assets","Nigeria Tax Act 2025, Section 33","wajen, dukiya,, kamar, yadda",HIGH
TAX_011,capital_gains_tax,Does compulsory acquisition of land trigger CGT?,Specific provisions apply to the disposal of land under compulsory acquisition.,Majalisar Ɗinkin Duniya ta soma ne a lokacin da aka yi girgizar ƙasa?,An yi amfani da wannan tsarin don a yi amfani da ƙasa mai ni'ima a ƙasar.,"CGT, land, compulsory acquisition","Nigeria Tax Act 2025, Section 37","amfani, wannan, tsarin, amfani, ni'ima",HIGH
TAX_012,petroleum_tax,What is the Hydrocarbon Tax?,A tax charged on profits from certain upstream petroleum operations in Nigeria.,"To, mẽne ne ya halitta su?",Ba da kyautar kuɗi game da amfanin wasu masu son kai a Nijeriya.,"hydrocarbon, petroleum, upstream, tax","Nigeria Tax Act 2025, Section 66","kyautar, amfanin, Nijeriya.",HIGH
