id,intent,question,answer,keywords,source
TAX_001,pit_rates,Menene matakan harajin kudin shiga na mutum (PIT) a Nijeriya?,Ana lissafa harajin kudin shiga na mutum bisa matakai daban-daban daga kashi 7% zuwa 24% dangane da yawan kudin shiga.,"PIT, rates, income tax, percentage","Nigeria Tax Act 2025, Section 58"
TAX_002,pit_exempt,Wane irin kudin shiga ne ba a biyan haraji a kansa?,"Wasu kudaden shiga kamar alawus na musamman, fansho, da wasu diyya na iya zama ba su da haraji bisa dokar kasa.","exempt, income, allowance, pension","Nigeria Tax Act 2025, Sections 35–36"
TAX_003,paye,Ta yaya tsarin PAYE yake aiki?,Tsarin PAYE yana cire haraji kai tsaye daga albashin ma'aikaci ta hannun mai aiki kuma ana biya ga gwamnati.,"PAYE, salary, deduction, employer","Nigeria Tax Act 2025, Section 13"
TAX_004,benefits_in_kind,Shin kayan aiki ko anfani da kamfani ya ba ma'aikaci ana biyan haraji a kansu?,"Eh, anfani kamar mota, gida, ko wasu kayan aiki da kamfani ya bayar ana iya kirga su a matsayin kudin shiga kuma a biya haraji a kansu.","benefits, company car, housing, tax","Nigeria Tax Act 2025, Section 14"
TAX_005,presumptive_tax,Menene harajin kimantawa (presumptive tax)?,Harajin kimantawa hanya ce da ake amfani da ita wajen kimanta haraji ga kananan sana'o'i bisa hasashe idan babu cikakken bayanan kudi.,"presumptive, small business, estimation","Nigeria Tax Act 2025, Section 29"
TAX_006,company_income_tax,Menene harajin kudin shiga na kamfani a Nijeriya?,"Kamfanoni suna biyan harajin kudin shiga da kusan kashi 30% na ribar su, gwargwadon girman kamfanin.","company tax, corporate, 30%","Nigeria Tax Act 2025, Section 56"
TAX_007,company_income_tax,Ta yaya ake lissafa ribar kamfani don haraji?,Ana lissafa ribar kamfani ta hanyar cire kudaden gudanarwa da sauran kashe-kashe daga jimillar kudin shiga.,"profit, calculation, expenses, revenue","Nigeria Tax Act 2025, Section 27"
TAX_008,specialised_tax,Menene wasu haraje na musamman a Nijeriya?,"Akwai haraje na musamman kamar harajin sadarwa, harajin wasanni, da sauran kudade na musamman da gwamnati ke karba.","special tax, telecom, sector tax","Nigeria Tax Act 2025, Section 60"
TAX_009,specialised_tax,Shin ana biyan haraji kan caca da sana'o'in nishadi?,"Eh, ana biyan haraji kan caca da wasu sana'o'in nishadi bisa dokokin haraji na musamman.","gaming, betting, entertainment tax","Nigeria Tax Act 2025, Section 62"
TAX_010,capital_gains_tax,Menene harajin ribar jari (capital gains tax)?,Harajin ribar jari ana biya ne akan riba da aka samu daga sayar da dukiya kamar kasa ko hannun jari.,"capital gains, assets, profit","Nigeria Tax Act 2025, Section 33"
